,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t1019,20442.000385030184,0.00212079686220401,-0.0025054665600389944,0.0,-0.0,0.0,-3.6055343588050663e-7,0.0,0.0,-20442.0
t1020,21270.00045108094,0.0020910650809499425,-0.0025417797259316183,0.0,-0.0,0.0,-3.6054893323057627e-7,0.0,0.0,-21270.0
t1021,21907.000489240563,0.0020771568108234532,-0.002566024935395122,0.0,-0.0,0.0,-3.605469014480482e-7,0.0,0.0,-21907.0
t1022,22457.00039027985,0.002116559984597436,-0.002506438809484899,0.0,-0.0,0.0,-3.605478735157799e-7,0.0,0.0,-22457.0
t1023,22574.000275972543,0.002162694093104913,-0.0024382426678342924,0.0,-0.0,0.0,-3.6055029297090626e-7,0.0,0.0,-22574.0
t1024,22619.00017738824,0.0022037780480644166,-0.0023807304810631526,0.0,-0.0,0.0,-3.6055394797321116e-7,0.0,0.0,-22619.0
t1025,22576.000376080694,0.0021048282775401623,-0.002480503008423999,0.0,-0.0,0.0,-3.605588181380697e-7,0.0,0.0,-22576.0
t1026,22409.00045445555,0.002077334083256421,-0.0025314068759437354,0.0,-0.0,0.0,-3.605624637723587e-7,0.0,0.0,-22409.0
t1027,21887.00043429891,0.002092638030674274,-0.002526566002338398,0.0,-0.0,0.0,-3.6056830276338414e-7,0.0,0.0,-21887.0
t1028,21200.000400300887,0.00211246830860979,-0.002512403167088167,0.0,-0.0,0.0,-3.605727598015989e-7,0.0,0.0,-21200.0
t1029,20931.000361046834,0.0021304890774263186,-0.0024911729518647886,0.0,-0.0,0.0,-3.6057403562871966e-7,0.0,0.0,-20931.0
t1030,20099.00026300819,0.0021523108743786976,-0.002414962537817834,0.0,-0.0,0.0,-3.605790603128919e-7,0.0,0.0,-20099.0
t1031,18179.0005059628,0.0020545268665780607,-0.002560133943461413,0.0,-0.0,0.0,-3.605831529004952e-7,0.0,0.0,-18179.0
t1032,16280.00042542624,0.0021015230591824616,-0.002526594695030424,0.0,-0.0,0.0,-3.6058177199315686e-7,0.0,0.0,-16280.000000000002
t1033,14935.000397636359,0.0021166761840199686,-0.0025139606804670186,0.0,-0.0,0.0,-3.605780632674177e-7,0.0,0.0,-14935.0
t1034,14062.00039090917,0.002120312763292058,-0.0025108778903650754,0.0,-0.0,0.0,-3.6057394609315385e-7,0.0,0.0,-14062.0
t1035,13498.000386664637,0.002122348804256878,-0.002508662456147838,0.0,-0.0,0.0,-3.605701791121024e-7,0.0,0.0,-13498.0
t1036,13146.000386339463,0.002122705396148152,-0.002508695342591143,0.0,-0.0,0.0,-3.605652966705924e-7,0.0,0.0,-13146.0
t1037,13178.000385614496,0.002123074096276539,-0.002508338726170174,0.0,-0.0,0.0,-3.60563836353163e-7,0.0,0.0,-13178.0
