Resource,MA_natural_gas_combined_cycle,MA_solar_pv_1,MA_solar_pv_2,CT_natural_gas_combined_cycle,CT_onshore_wind_1,CT_onshore_wind_2,CT_solar_pv_1,CT_solar_pv_2,ME_natural_gas_combined_cycle,ME_onshore_wind_1,ME_onshore_wind_2,MA_battery,CT_battery,ME_battery,Total
t136,0.0,0.0,7.105427357601002e-15,4091.016481652161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,4342.827009530714
t137,0.0,0.0,-2.220446049250313e-16,3591.3905198224547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,3843.2010477010085
t138,0.0,0.0,0.0,2907.904269900351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,3159.714797778905
t139,0.0,0.0,0.0,3150.5835715815692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,3402.394099460123
t140,0.0,0.0,0.0,3696.581190763959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,3948.391718642513
t141,0.0,0.0,0.0,4285.770115471627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,4537.58064335018
t142,0.0,0.0,0.0,5081.636113409546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,5333.446641288099
t143,0.0,0.0,0.0,6144.85902287459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,6396.669550753143
t144,709.5003331473727,0.0,0.0,6502.117139052178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,7463.428000078104
t145,1564.703664645136,0.0,0.0,6502.117139052178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,8318.631331575867
t146,2079.6353769575817,0.0,0.0,6502.117139052178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,8833.563043888313
t147,2343.702195932191,0.0,0.0,6502.117139052178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,9097.629862862921
t148,2441.206110613648,0.0,0.0,6502.117139052178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,9195.133777544379
t149,2347.7669957809885,0.0,0.0,6502.117139052178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,9101.69466271172
t150,1914.0764233601203,0.0,0.0,6502.117139052178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,8668.004090290851
t151,1165.538630864814,0.0,0.0,6502.117139052178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,7919.466297795545
t152,366.1801140754542,0.0,0.0,6502.117139052178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,7120.107781006185
t153,0.0,0.0,1.4210854715202004e-14,6116.7719098148555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,6368.582437693409
t154,0.0,0.0,0.0,5634.957411350061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,5886.7679392286145
t155,0.0,0.0,2.842170943040401e-14,5439.776487034746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,5691.5870149133
t156,0.0,0.0,-2.842170943040401e-14,5560.418038723892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,5812.228566602445
t157,0.0,0.0,0.0,5850.848519417599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,6102.6590472961525
t158,0.0,0.0,-5.684341886080802e-14,6253.339173787311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,6505.149701665864
t159,0.0,0.0,-2.842170943040401e-14,6451.103634786083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,6702.914162664636
t160,0.0,0.0,0.0,6374.585838189564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,6626.3963660681175
t161,0.0,0.0,0.0,5647.175920063248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.81052787855364,5898.986447941801
