,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
t1493,8430.672545888485,3809.1147552743005,-3212.733068176553,0.0,-0.0,0.0,0.0,0.0,0.0,-9027.054232986233
t1494,11020.460310443106,2624.4870526985765,-4397.360770752277,0.0,-0.0,0.0,0.0,0.0,0.0,-9247.586592389403
t1495,9114.82946123214,3817.3556436400454,-3204.492179810808,0.0,-0.0,0.0,0.0,0.0,0.0,-9727.692925061378
t1496,17403.751575449867,0.0,-7021.847823450854,0.0,-0.0,0.0,0.0,0.0,0.0,-10381.903751999014
t1497,18442.04746852508,0.0,-7021.847823450854,0.0,-0.0,0.0,0.0,0.0,0.0,-11420.199645074226
t1498,19350.55637496589,0.0,-7021.847823450854,0.0,-0.0,0.0,0.0,0.0,0.0,-12328.708551515037
t1499,5877.712433504927,7021.847823450854,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-12899.56025695578
t1500,18333.97656359229,950.9373926228309,-6070.910430828023,0.0,-0.0,0.0,0.0,0.0,0.0,-13214.003525387096
t1501,20143.208857011887,116.49063299585904,-6905.357190454994,0.0,-0.0,0.0,0.0,0.0,0.0,-13354.342299552749
t1502,13486.127859640128,3377.4996914817234,-3644.34813196913,0.0,-0.0,0.0,0.0,0.0,0.0,-13219.279419152721
t1503,20146.161154822305,0.0,-7021.847823450854,0.0,-0.0,0.0,0.0,0.0,0.0,-13124.313331371452
t1504,13627.20442097811,3218.853984926778,-3802.9938385240757,0.0,-0.0,0.0,0.0,0.0,0.0,-13043.064567380812
t1505,10670.833378451298,2556.8874707264235,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13227.720849177724
t1506,6488.660931564428,7021.847823450854,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-13510.508755015282
t1507,8441.448548492215,5616.697979395056,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-14058.146527887271
