Resource,MA_natural_gas_combined_cycle,CT_natural_gas_combined_cycle,ME_natural_gas_combined_cycle,MA_solar_pv,CT_onshore_wind,CT_solar_pv,ME_onshore_wind,MA_battery,CT_battery,ME_battery
t169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,4904.336297875973
t170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,5003.001136418543
t171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,5003.001136418543
t172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,5003.001136418543
t173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,5003.001136418543
t174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,5003.001136418543
t175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,5003.001136418543
t176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,5003.001136418543
t177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,5003.001136418543
t178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,5003.001136418543
t179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,5003.001136418543
t180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,5003.001136418543
t181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,5003.001136418543
t182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,0.0,5003.001136418543
t183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,5003.001136418543
t184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,5003.001136418543
t185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,5003.001136418543
t186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,4542.712853583116
t187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,4254.853656851791
t188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,4254.853656851791
t189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,4254.853656851791
t190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,4887.904379915202
t191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,4887.904379915202
t192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,4887.904379915202
t193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,4887.904379915202
t194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,4887.904379915202
t195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,4887.904379915202
t196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,4887.904379915202
t197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,4887.904379915202
t198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,4887.904379915202
t199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,5481.540058475181
t200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,5481.540058475181
t201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,5369.316733938786
t202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,5325.223945892204
t203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,5315.196426090529
t204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,5315.196426090529
t205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,5315.196426090529
t206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,5315.196426090529
t207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,5315.196426090529
t208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,5315.196426090529
t209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,5683.298024609541
t210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,4951.570569517532
t211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,3884.563165472627
t212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,3158.1663088596065
t213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,3022.53891303628
t214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,3022.53891303628
t215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,3274.2809949733437
t216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,3274.2809949733437
t217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,3274.2809949733437
t218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,3274.2809949733437
t219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,3274.2809949733437
t220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,4196.069834747954
t221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,4196.069834747954
t222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,4196.069834747954
t223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,4825.454042043604
t224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,4825.454042043604
t225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,4825.454042043604
t226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,4825.454042043604
t227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,4825.454042043604
t228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,4825.454042043604
t229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,5153.919397148831
t230,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,5153.919397148831
t231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,5153.919397148831
t232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,5683.298024609541
t233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,5683.298024609541
t234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,4791.926492759566
t235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,3625.930070070769
t236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,2738.8061629971116
t237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,2346.648416651499
t238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,2733.6782552443733
t239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,3407.0606517531587
t240,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,3407.0606517531587
t241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,4242.68637098538
t242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.18641374687633,-0.0,4242.68637098538
t243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,4846.755676435379
t244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,4846.755676435379
t245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,5683.298024609541
t246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,5683.298024609541
t247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,5683.298024609541
t248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,5356.0640286629205
t249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,4926.634227981571
t250,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,4564.273057595953
t251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,4282.806365537695
t252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,316.7019753904591,-0.0,4148.2408759084465
